id_filme,titulo,palavras_chave,popularidade
4011,Beetlejuice,untimely demise via drowning; young couple end; undead newlyweds turn; new england farmhouse; make drastic changes,58.553213
1690,Hostel,three backpackers head; slovakian city; hedonistic expectations; promises; meet,38.83192
82525,Savages,pot growers ben; mexican drug cartel; shared girlfriend; chon face; kidnapped,31.856589
82703,Mr. Peabody & Sherman,young boy; travel machine; level iq; history begin; time,38.73494
292481,Henry & Me,"new york yankee legends play forever; paul simon ), lefty gomez; chazz palminteri ), thurman munson; incredible journey brings jack face; curve … swing away",0.999655
28089,The Messenger,"woody harrelson ),; samantha morton ),; casualty notification service; captain tony stone; ben foster ),",8.432401
14359,Doubt,fire dialogue tackles themes; catholic school nun questions; troubled young student; ambiguous relationship; suspecting,20.975165
32395,The Greatest,car crash claimed bennett; younger brother; quite admit; grieving mother; teenagers rose,6.903186
192210,Open Road,young brazilian artist; many forms; journey around; old life; angie finds,2.680629
11191,Mystic Pizza,three teenage girls come; pizza parlor; mystic connecticut; working; age,6.379933
8469,Animal House,entire delta tau chi fraternity; dean vernon wormer; 1962 college; troublemakers; plans,17.332585
59,A History of Violence,seemingly self; father commits; defense murder; average family; thrust,34.628738
22881,The Blind Side,affluent memphis couple; remarkable rise; oversized african; michael oher; michael embarks,25.767395
1417,Pan's Labyrinth,ofelia must complete three terrifying tasks; old ofelia feels alone; decaying labyrinth guarded; tyrannical stepfather; real father,90.809408
279,Amadeus,secret rival antonio salieri –; genius musician wolfgang amadeus mozart; insane asylum; incredible story; told,31.82675
46256,The Lion of Judah,stable mates leave; upon learning; cozy barn; annual festival; trapped,0.165909
49517,Tinker Tailor Soldier Spy,trusted former colleagues; successful agents –; retired mi6 agent; four suspects –; disgraced agent reappears,33.649652
47890,Sphinx,egyptologist erica baron finds; planned trip; theft; pharoahs; murder,0.310513
23048,Hot Tub Time Machine,ski resort takes; malfunctioning time machine; two friends; must relive; man back,33.926473
238636,The Purge: Anarchy,survive purge night; three groups; stories intertwine; purge trying; left stranded,82.975841
68202,Without Men,remote latin american town; forcibly recruited; communist guerrillas; town; world,0.28076
37821,Killers,elite assassin marries; beautiful computer whiz; whirlwind romance; new bride; someone,23.004607
4958,The Legend of Bagger Vance,mysterious caddy bagger vance; left golfer rannulph junuh; financially ravaged golf course; perfect swing gone; world war,16.848899
27360,King's Ransom,loathsome businessman arranges; people interested; digging wife; well; wealth,5.079017
16690,Return to Never Land,never land '.; world war ii; world besieged; two children; peter pan,15.341196
990,The Hustler,time pool hustler; legendary minnesota fats; fast eddie felson; stakes match; destructive attitude,17.639478
119283,Parker,unlikely alliance; unique code; professional ethics; new disguise; latest heist,28.670477
2067,Mission to Mars,first mars expedition; rescue mission; lost; launched; fate,16.058284
11459,Sky High,normal teenager; commonly known; young; world; tries,11.041659
16558,Duplicity,engaged corporate spies team; reap huge profits; extravagant lifestyle together; corporate race; two romantically,13.630049
10878,Saving Silverman,neil diamond cover band; wrong woman; hearted beauty; buddies conspire; best friend,12.887673
26618,Clay Pigeons,"serial killer named lester long; fishing buddy .""; clay inadvertently befriends; small town; sexual affairs",4.221313
155,The Dark Knight,district attorney harvey dent; rising criminal mastermind known; remaining criminal organizations; terrified citizens; soon find,187.322927
12154,Three Men and a Baby,three bachelors find; take care; baby left; one; guy,12.335827
22,Pirates of the Caribbean: The Curse of the Black Pearl,rival pirate bent; century pirate; sparrow decides; seafaring mission; port royal,271.972889
1997,Two Brothers,reunited years later; two tigers; inadvertently forces; taken; separated,8.884318
41823,Mo' Better Blues,bleek gilliam quartet; tear apart; professional relationship; mother insists; friends want,3.079862
667,You Only Live Twice,legendary james bond series starring sean connery; mysterious space craft kidnaps; james bond investigates; american space capsule; british super agent,28.675891
1880,Red Dawn,cuban troops begin landing; soviet kgb patrols hunting; colorado high school; hunting rifles; teens struggles,11.743085
31915,Prophecy,toxic wastes; spreads terror; savage beast; monstrous size; maine countryside,8.61659
22803,Law Abiding Citizen,plea bargain sets one; frustrated man decides; take justice; others involved; killers free,49.593978
874,A Man for All Seasons,wife since king henry viii; king even though; award winning film; english man comes; filmed version,9.541688
71552,American Reunion,town michigan boys began; vicky said goodbye; heather grew apart; finch still longs; east great falls,39.920035
199,Star Trek: First Contact,commissioned uss enterprise e pursue; changing federation history; violating orders; stay away; relentless race,25.6713
13922,The Great Raid,push 30 miles behind enemy lines; elite sixth ranger battalion; world war ii rages; 500 american prisoners; heroic proportions,8.923215
258755,Hidden Away,experiencing first love; never could; dizzying speed; world around; hidden away,1.233688
23483,Kick-Ass,unnoticed high school student; one day decides; comic book fan; meaningful reason; even though,45.054936
9613,Spider,mentally disturbed man takes residence; mind gradually slips back; realm created; key part; halfway house,6.948401
91070,L!fe Happens,two best friends; kim gets pregnant; maintain normalcy; comedy centered; kim,5.974156
26815,Rocket Singh: Salesman of the Year,fresh graduate trying; career right side; sometimes thoughtful story; sometimes thoughtless; stumbling upon,3.000435
40185,Camping Sauvage,camille et blaise connaissent tous deux ce même mal de vivre qui les rapproche et les éloigne des autres; traîne son ennui coincée entre ses parents et son petit ami; ils se lancent alors à corps perdus dans une dangereuse histoire; une liaison qui exaspère leur entourage et déchaîne les passions; tout juste embauché comme moniteur de voile,0.20323
